Retake,Before,After,Improved,Index
NO,69.0,69.0,0.0,1
NO,65.2,65.2,0.0,2
NO,66.7,66.7,0.0,3
NO,82.5,82.5,0.0,4
NO,72.3,72.3,0.0,5
NO,85.2,85.2,0.0,6
NO,70.0,70.0,0.0,7
NO,81.7,81.7,0.0,8
NO,34.3,34.3,0.0,9
NO,25.8,25.8,0.0,10
NO,18.3,18.3,0.0,11
YES,49.3,73.2,23.90000000000001,12
YES,48.3,75.5,27.200000000000003,13
YES,48.7,72.0,23.3,14
YES,39.0,47.8,8.799999999999997,15
YES,25.3,83.7,58.400000000000006,16
YES,65.8,84.2,18.40000000000001,17
YES,53.3,55.2,1.9000000000000057,18
YES,52.3,68.7,16.400000000000006,19
YES,59.0,80.7,21.700000000000003,20
YES,44.2,55.0,10.799999999999995,21
YES,55.8,72.0,16.200000000000003,22
YES,7.3,22.7,15.4,23
YES,65.2,77.0,11.799999999999995,24
YES,53.5,94.2,40.7,25
YES,25.8,56.3,30.5,26
YES,42.2,66.7,24.5,27
YES,29.7,80.2,50.5,28
YES,63.5,75.5,12.0,29
YES,49.2,69.2,20.0,30
